dataset,feature_family,params,mean_bal_acc,std_bal_acc,timestamp
HAM10000,LBP,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.1514832073221335,0.0047180201282701435,2026-01-12T17:04:01.465667
HAM10000,LBP,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.14916335678246173,0.0025578136169405003,2026-01-12T18:21:53.222679
HAM10000,LBP,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.15090943278862742,0.004620748050267035,2026-01-12T19:32:27.615094
HAM10000,GLCM,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.14377755079769433,0.0006115129519657155,2026-01-12T20:20:58.616741
HAM10000,GLCM,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.14390551424844392,0.0006322005805095781,2026-01-12T21:29:42.891466
HAM10000,GLCM,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.14360681567646716,0.0007000479996968954,2026-01-12T22:36:44.845402
ISIC2019,LBP,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.12774486449694195,0.0020117274611487685,2026-01-12T23:27:55.736876
ISIC2019,LBP,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.1300317077140626,0.0010078370845611913,2026-01-13T00:45:05.920754
ISIC2019,LBP,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.13099862676192725,0.0024068897460193224,2026-01-13T02:12:34.358045
ISIC2019,GLCM,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.12859943587876077,0.0008504135946948042,2026-01-13T03:04:56.587666
ISIC2019,GLCM,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.12714968922997688,0.0009432337296740543,2026-01-13T04:20:09.292532
ISIC2019,GLCM,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.1284693552910513,0.0016866442184203302,2026-01-13T05:34:13.331438
